Plot,X,Y
Metadata,518,Gallery
Metadata,698,Probe
Metadata,698,Genuine
Metadata,360866,Impostor
Metadata,0,Ignored
IET,0.214122,0.785878
DET,9.90813e-05,0.594015
FAR,2.8246,9.90813e-05
FRR,-0.201215,0.00995396
IET,0.215112,0.784888
DET,0.000101863,0.593296
FAR,2.82246,0.000101863
FRR,-0.197499,0.0100927
IET,0.216107,0.783893
DET,0.000104723,0.592557
FAR,2.82,0.000104723
FRR,-0.192496,0.0102334
IET,0.217107,0.782893
DET,0.000107662,0.591797
FAR,2.81737,0.000107662
FRR,-0.187423,0.010376
IET,0.218111,0.781889
DET,0.000110685,0.59034
FAR,2.81174,0.000110685
FRR,-0.182278,0.0105207
IET,0.21912,0.78088
DET,0.000113792,0.58878
FAR,2.80748,0.000113792
FRR,-0.177063,0.0106673
IET,0.220133,0.779867
DET,0.000116987,0.587954
FAR,2.80172,0.000116987
FRR,-0.171773,0.010816
IET,0.221151,0.778849
DET,0.000120271,0.587277
FAR,2.79659,0.000120271
FRR,-0.166412,0.0109668
IET,0.222174,0.777826
DET,0.000123647,0.586928
FAR,2.7929,0.000123647
FRR,-0.160974,0.0111197
IET,0.223202,0.776798
DET,0.000127118,0.586569
FAR,2.7891,0.000127118
FRR,-0.15546,0.0112747
IET,0.224234,0.775766
DET,0.000130687,0.5862
FAR,2.78519,0.000130687
FRR,-0.149871,0.0114318
IET,0.225271,0.774729
DET,0.000134356,0.584572
FAR,2.77871,0.000134356
FRR,-0.142364,0.0115912
IET,0.226313,0.773687
DET,0.000138128,0.581883
FAR,2.77261,0.000138128
FRR,-0.134329,0.0117528
IET,0.22736,0.77264
DET,0.000142005,0.578826
FAR,2.75293,0.000142005
FRR,-0.126185,0.0119166
IET,0.228411,0.771589
DET,0.000145992,0.574009
FAR,2.74223,0.000145992
FRR,-0.117926,0.0120827
IET,0.229468,0.770532
DET,0.00015009,0.572135
FAR,2.73223,0.00015009
FRR,-0.109551,0.0122511
IET,0.230529,0.769471
DET,0.000154304,0.567172
FAR,2.71821,0.000154304
FRR,-0.10106,0.0124219
IET,0.231595,0.768405
DET,0.000158636,0.566799
FAR,2.71453,0.000158636
FRR,-0.0924507,0.0125951
IET,0.232666,0.767334
DET,0.000163089,0.566415
FAR,2.71075,0.000163089
FRR,-0.0837201,0.0127706
IET,0.233742,0.766258
DET,0.000167668,0.566021
FAR,2.70686,0.000167668
FRR,-0.0750051,0.0129486
IET,0.234823,0.765177
DET,0.000172374,0.564421
FAR,2.70341,0.000172374
FRR,-0.0664737,0.0131291
IET,0.23591,0.76409
DET,0.000177214,0.564004
FAR,2.70066,0.000177214
FRR,-0.057821,0.0133122
IET,0.237001,0.762999
DET,0.000182188,0.563576
FAR,2.69784,0.000182188
FRR,-0.0490502,0.0134977
IET,0.238097,0.761903
DET,0.000187303,0.563135
FAR,2.69494,0.000187303
FRR,-0.0401552,0.0136859
IET,0.239198,0.760802
DET,0.000192561,0.560204
FAR,2.68559,0.000192561
FRR,-0.0311393,0.0138766
IET,0.240304,0.759696
DET,0.000197967,0.558396
FAR,2.6787,0.000197967
FRR,-0.0219936,0.0140701
IET,0.241416,0.758584
DET,0.000203525,0.557917
FAR,2.67542,0.000203525
FRR,-0.0127239,0.0142662
IET,0.242532,0.757468
DET,0.000209238,0.557424
FAR,2.67205,0.000209238
FRR,-0.00963467,0.0144651
IET,0.243654,0.756346
DET,0.000215112,0.555425
FAR,2.66129,0.000215112
FRR,-0.00929505,0.0146667
IET,0.244781,0.755219
DET,0.000221151,0.552132
FAR,2.65314,0.000221151
FRR,-0.00895059,0.0148712
IET,0.245913,0.754087
DET,0.00022736,0.548688
FAR,2.64578,0.00022736
FRR,-0.00860143,0.0150784
IET,0.24705,0.75295
DET,0.000233742,0.547588
FAR,2.64207,0.000233742
FRR,-0.00824726,0.0152886
IET,0.248193,0.751807
DET,0.000240304,0.545331
FAR,2.62821,0.000240304
FRR,-0.00788832,0.0155017
IET,0.249341,0.750659
DET,0.00024705,0.543587
FAR,2.62459,0.00024705
FRR,-0.00752419,0.0157178
IET,0.250494,0.749506
DET,0.000253986,0.540609
FAR,2.62091,0.000253986
FRR,-7.96914e-05,0.0159369
IET,0.251653,0.748347
DET,0.000261116,0.535762
FAR,2.61225,0.000261116
FRR,0.00914448,0.0161591
IET,0.252817,0.747183
DET,0.000268446,0.535131
FAR,2.60569,0.000268446
FRR,0.0184998,0.0163843
IET,0.253986,0.746014
DET,0.000275983,0.534481
FAR,2.59894,0.000275983
FRR,0.0279813,0.0166127
IET,0.255161,0.744839
DET,0.00028373,0.532454
FAR,2.59159,0.00028373
FRR,0.0375965,0.0168443
IET,0.256341,0.743659
DET,0.000291696,0.53133
FAR,2.58632,0.000291696
FRR,0.0473478,0.0170791
IET,0.257526,0.742474
DET,0.000299884,0.529795
FAR,2.57728,0.000299884
FRR,0.0526388,0.0173172
IET,0.258717,0.741283
DET,0.000308303,0.52907
FAR,2.57483,0.000308303
FRR,0.0538007,0.0175586
IET,0.259914,0.740086
DET,0.000316958,0.528371
FAR,2.57216,0.000316958
FRR,0.0549787,0.0178033
IET,0.261116,0.738884
DET,0.000325856,0.527714
FAR,2.56921,0.000325856
FRR,0.0561733,0.0180515
IET,0.262324,0.737676
DET,0.000335004,0.526901
FAR,2.56642,0.000335004
FRR,0.0573843,0.0183031
IET,0.263537,0.736463
DET,0.000344409,0.525379
FAR,2.56397,0.000344409
FRR,0.0586125,0.0185583
IET,0.264756,0.735244
DET,0.000354077,0.521652
FAR,2.55995,0.000354077
FRR,0.0600215,0.0188169
IET,0.26598,0.73402
DET,0.000364017,0.513809
FAR,2.54959,0.000364017
FRR,0.0615076,0.0190792
IET,0.267211,0.732789
DET,0.000374237,0.509778
FAR,2.54252,0.000374237
FRR,0.0630143,0.0193452
IET,0.268446,0.731554
DET,0.000384743,0.508873
FAR,2.53686,0.000384743
FRR,0.0645419,0.0196149
IET,0.269688,0.730312
DET,0.000395544,0.505613
FAR,2.53056,0.000395544
FRR,0.0660909,0.0198883
IET,0.270935,0.729065
DET,0.000406648,0.504975
FAR,2.52795,0.000406648
FRR,0.0670788,0.0201655
IET,0.272188,0.727812
DET,0.000418064,0.504319
FAR,2.52527,0.000418064
FRR,0.0671579,0.0204466
IET,0.273447,0.726553
DET,0.0004298,0.501289
FAR,2.51984,0.0004298
FRR,0.067238,0.0207316
IET,0.274712,0.725288
DET,0.000441866,0.495051
FAR,2.50746,0.000441866
FRR,0.0673194,0.0210206
IET,0.275983,0.724017
DET,0.000454271,0.49007
FAR,2.50324,0.000454271
FRR,0.0674018,0.0213136
IET,0.277259,0.722741
DET,0.000467023,0.48837
FAR,2.49575,0.000467023
