Plot,X,Y
Metadata,6000,Gallery
Metadata,6000,Probe
Metadata,1041,Genuine
Metadata,358752,Impostor
Metadata,35640207,Ignored
FRR,-9.65271,0.00321376
IET,0.0134977,0.996439
DET,0.000187303,0.991571
FAR,-8.17415,0.000187303
FRR,-9.6524,0.00327363
IET,0.0136859,0.996408
DET,0.000192561,0.991345
FAR,-8.1759,0.000192561
FRR,-9.65208,0.00333462
IET,0.0138766,0.996377
DET,0.000197967,0.991112
FAR,-8.1777,0.000197967
FRR,-9.65175,0.00339674
IET,0.0140701,0.996346
DET,0.000203525,0.990872
FAR,-8.17954,0.000203525
FRR,-9.65142,0.00346002
IET,0.0142662,0.996314
DET,0.000209238,0.990626
FAR,-8.18144,0.000209238
FRR,-9.65108,0.00352447
IET,0.0144651,0.996282
DET,0.000215112,0.990373
FAR,-8.18339,0.000215112
FRR,-9.65073,0.00359013
IET,0.0146667,0.996249
DET,0.000221151,0.990113
FAR,-8.1854,0.000221151
FRR,-9.65038,0.00365701
IET,0.0148712,0.996216
DET,0.00022736,0.989846
FAR,-8.18746,0.00022736
FRR,-9.65003,0.00372514
IET,0.0150784,0.996182
DET,0.000233742,0.989571
FAR,-8.18958,0.000233742
FRR,-9.64966,0.00379453
IET,0.0152886,0.996148
DET,0.000240304,0.989201
FAR,-8.19136,0.000240304
FRR,-9.64929,0.00386522
IET,0.0155017,0.996114
DET,0.00024705,0.988736
FAR,-8.1928,0.00024705
FRR,-9.64891,0.00393723
IET,0.0157178,0.996079
DET,0.000253986,0.988258
FAR,-8.19428,0.000253986
FRR,-9.64853,0.00401057
IET,0.0159369,0.996043
DET,0.000261116,0.987766
FAR,-8.1958,0.000261116
FRR,-9.64813,0.00408529
IET,0.0161591,0.996007
DET,0.000268446,0.985558
FAR,-8.19933,0.000268446
FRR,-9.64773,0.00416139
IET,0.0163843,0.995971
DET,0.000275983,0.98527
FAR,-8.20236,0.000275983
FRR,-9.64733,0.00423891
IET,0.0166127,0.995934
DET,0.00028373,0.984973
FAR,-8.20548,0.00028373
FRR,-9.64691,0.00431788
IET,0.0168443,0.995896
DET,0.000291696,0.984668
FAR,-8.20869,0.000291696
FRR,-9.64649,0.00439832
IET,0.0170791,0.995858
DET,0.000299884,0.984574
FAR,-8.21054,0.000299884
FRR,-9.64606,0.00448025
IET,0.0173172,0.995819
DET,0.000308303,0.984508
FAR,-8.21225,0.000308303
FRR,-9.64562,0.00456372
IET,0.0175586,0.99578
DET,0.000316958,0.98444
FAR,-8.21401,0.000316958
FRR,-9.64517,0.00464873
IET,0.0178033,0.995741
DET,0.000325856,0.98437
FAR,-8.21581,0.000325856
FRR,-9.64472,0.00473533
IET,0.0180515,0.9957
DET,0.000335004,0.984299
FAR,-8.21767,0.000335004
FRR,-9.64426,0.00482355
IET,0.0183031,0.99566
DET,0.000344409,0.984225
FAR,-8.21958,0.000344409
FRR,-9.64378,0.00491341
IET,0.0185583,0.995618
DET,0.000354077,0.984149
FAR,-8.22154,0.000354077
FRR,-9.6433,0.00500494
IET,0.0188169,0.995576
DET,0.000364017,0.984071
FAR,-8.22356,0.000364017
FRR,-9.64281,0.00509818
IET,0.0190792,0.995534
DET,0.000374237,0.983991
FAR,-8.22563,0.000374237
FRR,-9.64231,0.00519315
IET,0.0193452,0.995491
